namseq,coverage
14498,256.2030308917816
27190,220.23677932405568
27285,270.20222222222225
14072,226.79959473150961
14051,203.61655508216677
14020,210.30984126984126
13955,171.95182036189232
27291,391.2529488859764
27262,261.2356673960613
27403,139.03979771328056
14377,127.54300243201415
14511,161.96779209240339
27072,234.18662519440124
27402,200.46644444444445
27733,161.30093416370107
14066,111.31815137307434
27445,425.1583649765468
27061,391.7669055082848
27396,230.30040322580646
14299,205.39453037435553
13956,351.3059836808703
27205,194.87272727272727
14499,254.50432211101
27242,365.4132664691133
27409,200.37234786663558
27057,216.12974238875879
27429,260.5469494756911
27446,194.24094375595806
14002,178.60878910914735
14195,359.3443407513759
14120,88.17953020134229
27226,206.44487148690848
27398,303.3746976294146
27404,156.49963494767584
14003,213.10507069722087
27425,201.1039664942104
27426,213.7496259351621
27329,194.72175
13976,160.77556172683666
27433,134.8185053380783
27416,266.0821741370428
14063,213.30292821974604
14184,261.0520125457397
27189,220.73535620052772
27438,296.1537642990157
27395,313.2472154305895
14510,286.62240088716385
14174,316.46961805555554
27289,146.95278099652376
14345,150.90726744186045
26990,130.99680046538685
27744,157.74963482325447
27731,253.35373352855052
27151,235.38324055083504
14378,132.3905013192612
27018,239.8503821281599
14273,380.98587819947045
14509,271.28020035356514
14508,207.2679468242245
14449,257.9804733727811
14267,293.7317939609236
14296,130.65501924785312
14266,189.3791876667655
13972,175.18688816374964
27135,129.12247324613554
26986,252.27967866706337
27009,137.79410011918952
14387,205.20143027413587
27703,243.66517590936195
27518,152.80495079033702
13881,222.98537749925396
15494,134.14034040011944
27515,180.64934289127837
13761,290.59832635983264
27951,102.74131736526947
27781,238.6121103117506
27793,171.4364127174565
27783,129.54395439543956
27556,202.78004807692307
27807,134.70934776074543
13789,230.8094521372667
14343,99.8193315266486
14041,258.5685447423923
27557,172.21857099788966
13322,152.67621344588483
13854,239.20084439083232
27955,98.55931180199215
13839,155.55968570565125
27954,247.34856278366112
13759,178.08807506053267
27675,224.88060606060606
14071,247.18943533697632
27517,142.55866261398177
27712,261.7255319148936
15536,275.732905982906
27713,109.3962033067973
15418,251.9111519607843
13703,210.1767254719901
26334,211.67493796526054
16758,124.37249373433583
11899,144.00751879699249
26592,163.27627438640656
14973,131.6801007556675
29504,190.39905511811023
14209,310.53150598613735
12299,174.67307692307693
17159,75.29981024667931
15219,108.18714376187461
14042,519.8146031746031
15233,127.32325803372574
26851,176.75851097677378
29969,198.32397959183675
19326,377.7741935483871
25037,108.14734144778988
11776,217.6829268292683
11783,76.61227112110504
20448,68.66634522661523
26114,136.08637981235847
26508,91.26569579288027
20533,127.75113415424498
22254,229.16917047681255
29709,58.45029431000654
19122,232.58436886854153
20931,350.1107107762856
25978,159.661195009849
26025,142.80522486772486
15376,127.65100893152497
13620,291.79853723404256
14411,350.5123828647925
15870,192.931161853593
26113,110.621467025572
14796,200.5060606060606
15751,196.03947368421052
10728,151.36197564276048
15604,140.1393051771117
29492,126.59716459197787
28000,227.12982944657153
26218,64.5759052924791
27999,331.54659685863874
27676,229.2083769633508
13784,519.3678883071553
13783,361.5080532212885
27961,314.30287114845936
14355,526.4491941135249
13651,221.6435119887165
27960,247.0921284857042
13721,297.40833627693394
14519,281.46219081272085
27603,191.90322580645162
26355,207.1158081705151
13617,273.646324054247
13429,179.7032142857143
27991,131.96785714285716
14046,139.41386704789136
27017,384.3489620615605
29317,119.2577873254565
27167,196.60732232591528
27044,171.63316582914572
27387,155.50017953321364
27089,130.25933908045977
27165,263.6228386167147
13957,142.49261261261262
27168,119.10786435786436
27063,110.0551948051948
27753,189.34788884879106
14501,98.14306358381504
29690,92.83773039392844
14436,89.06724511930585
14582,168.75226039783
27986,142.69222423146473
14329,139.12115732368898
27722,222.37364228819695
27993,80.05
13291,70.33828861493836
11479,193.81603773584905
26017,278.02869596803487
14294,151.55377906976744
27482,219.22238372093022
27619,126.7078488372093
27723,107.23991275899672
27984,121.12513641324118
